9938820DERMAGLOS LINEA SOLAR                       Ni¤osFac.35RAemul.x200ml00000000NNAndr¢maco       00001537520160511001100093882007793742103247000110NNS00
9914822DERMAGLOS LINEA SOLAR                       Post solar emuls.x 300ml00000000NNAndr¢maco       00001396220160511001100091482207793742002519000110NNS00
9924236DERMAGLOS LINEA SOLAR                       Post solar gel x 150 g  00000000NNAndr¢maco       00000997320160511001100092423607793742003233000110NNS00
9918157DERMAGLOS LINEA SOLAR                       Post solar gel x 200 g  00000000NNAndr¢maco       00001196820160511001100091815707793742002816000130NNS00
9941166DERMAGLOS LINEA SOLAR                       Protector labial x 3.4 g00000000NNAndr¢maco       00000731420160511001100094116607793742102639000110NNS00
9909560HIDROSAM                                    gel cr.x 50 g           00000000NNAndr¢maco       00001637620160511001100090956007793742000911000110NNS00
9909561HIDROSAM                                    shamp.gel x 250 ml      00000000NNAndr¢maco       00001595220160511001100090956107793742000904000130NNS00
3598112HIDROSAM T                                  0.010% env.x 20 g       00000000NNAndr¢maco       00002552620160511002020091512807793742000959000110SNN00
3598292HIDROSAM T                                  0.025% env.x 20 g       00000000NNAndr¢maco       00002996520160511002020091512907793742000966000110SNN00
3598372HIDROSAM T                                  0.050% env.x 20 g       00000000NNAndr¢maco       00003155220160511002020091513007793742000973000110SNN00
3598452HIDROSAM T                                  0.100% env.x 20 g       00000000NNAndr¢maco       00003550320160511002020092466007793742000980000110SNN00
6133001NOVOCORT                                    0.6 mg comp.x 30        00007307NNAndr¢maco       00001512420160511002000094812007793742000614003010SNN00
6133131NOVOCORT                                    1.2 mg comp.x 30        00009947NNAndr¢maco       00002013520160511002000094812107793742000621003010SNN00
6132971NOVOCORT                                    gts.x 30 ml             00006600NNAndr¢maco       00001248420160511002000094812207793742000607000110SNN00
3903521SALAC                                       loc.x 40 ml             00006592NNAndr¢maco       00001282920160511002020092321307793742003110000110SNN00
3903441SALAC                                       ung.x 20 g              00005798NNAndr¢maco       00001125620160511002020092321107793742003127000110SNN00
2810561VERRUTOPIC                                  fco.x 15 ml+acces.      00000000NNAndr¢maco       00001695420160511002000090249207793742005107000110SNN00
4856742VERRUTOPIC AS                               6 mm ap¢s.x 20+acces.   00009371NNAndr¢maco       00002433020160511002000093239907793742005244002010SNN00
4736374NEURYL                                      0.5 mg comp.x 60        00000000NNBag¢            00001457220160415403020215233207790375003463006050SNN00
4813254NEURYL                                      1 mg comp.x 60          00000000NNBag¢            00001468620160415403020215233307790375003487006030SNN00
4736454NEURYL                                      2 mg comp.x 60          00000000NNBag¢            00001680020160415403060215233707790375003470006050SNN00
6320683AGLUCIDE MR 60                              60 mg comp.x 30         00016493NNBeta            00002965520160512002060325122007795328057845006010SNN00
6320685AGLUCIDE MR 60                              60 mg comp.x 60         00033689NNBeta            00005676920160512002060325121907795328057869006030SNN00
4909702ANDROLONE                                   gel sob.x 30 x 5 g      00034593NNBeta            00007219520160512A03020323430907795328054325003010SNN00
4426581ATEROCLAR                                   10 mg comp.rec.x 30     00018800NNBeta            00003814220160512002060322443607795328050877003010SNN00
4426582ATEROCLAR                                   10 mg comp.rec.x 60     00038574NNBeta            00006137820160512002060324064307795328050884006030SNN00
4426661ATEROCLAR                                   20 mg comp.rec.x 30     00029300NNBeta            00006225820160512002060322443807795328050891003010SNN00
4426741ATEROCLAR                                   40 mg comp.rec.x 30     00042089NNBeta            00006479920160512002060322894307795328050914003010SNN00
5735682ATEROCLAR COMBI                             10/10 mg comp.x 30      00000000NNBeta            00003338020160512002020324226707795328050761003010SNN00
5735552ATEROCLAR COMBI                             20/10 mg comp.x 30      00000000NNBeta            00004310620160512002020324226807795328050785003010SNN00
5385841ATEROCLAR DUO                               10/10 mg blist.x 15+15  00000000NNBeta            00001156520160512002020323660307795328050808003010SNN00
5385842ATEROCLAR DUO                               10/10 mg blist.x 30+30  00000000NNBeta            00002149320160512002020323660407795328050815006030SNN00
5386422ATEROCLAR DUO                               20/10 mg blist.x 30+30  00000000NNBeta            00003079720160512002020323660507795328050839006010SNN00
5238711ATERONOVA                                   10 mg comp.x 15         00009114NNBeta            00001262520160512002020324590807795328055537001510SNN00
5238712ATERONOVA                                   10 mg comp.x 30         00019188NNBeta            00003236220160512002020324570707795328055544003030SNN00
5238872ATERONOVA                                   20 mg comp.x 30         00036300NNBeta            00006371620160512002020324590907795328055568003010SNN00
3894461BRINTENAL                                   5 mg comp.x 20          00000000NNBeta            00000828720160512002060321513807795328051805002010SNN00
3894464BRINTENAL                                   5 mg comp.x 60          00000000NNBeta            00001801620160512002060323744007795328051843006030SNN00
4748092CERELUC                                     15 mg comp.x 30         00000000NNBeta            00002416520160512002020322784507795328052529003010SNN00
4748172CERELUC                                     30 mg comp.x 30         00000000NNBeta            00004722320160512002020322717307795328052543003010SNN00
4748252CERELUC                                     45 mg comp.x 30         00000000NNBeta            00002958320160512002020322784807795328052567003010SNN00
5990682CERELUC MET                                 15/500 mg comp.x 30     00000000NNBeta            00004380020160512002020324710707795328053168003010SNN00
5990712CERELUC MET                                 15/850 mg comp.x 30     00000000NNBeta            00004572920160512002020324710907795328053182003010SNN00
2119463CIPROVIT CALCICO                            comp.blist.x 60         00000000NNBeta            00007132920160512002020324966807795328050471006010SNN00
2120271CIPROVIT CALCICO                            jbe.x 120 ml            00000000NNBeta            00003418420160512002020320133607795328050259000110SNN00
2120272CIPROVIT CALCICO                            jbe.x 150 ml            00000000NNBeta            00006573720160512002020325036607795328050266000130SNN00
3752892CIPROVIT ENERGIZANTE                        comp.rec.x 30           00000000NNBeta            00003824920160512002020321354107795328050297003010SNN00
3041631CIPROVIT MAGNESICO                          gran.sob.x 20           00000000NNBeta            00004214520160512002020320015807795328050273002010SNN00
4589522CLAROVIL                                    500 mg comp.rec.x 16    00018974NNBeta            00003645220160512003080323615007795328056121001630SNN00
4589524CLAROVIL                                    500 mg comp.rec.x 8     00008756NNBeta            00001857020160512003080324639207795328056138000810SNN00
5076031CLAROVIL UD                                 500 mg comp.lib.prol.x 400005164NNBeta            00000949220160512003080323615107795328056152000410SNN00
5076034CLAROVIL UD                                 500 mg comp.lib.prol.x 800010552NNBeta            00002126620160512003080323615207795328056169000830SNN00
4890803CLONAX                                      0.5 mg comp.x 30        00004300NNBeta            00001315920160512403020322849207795328055025003010SNN00
4890807CLONAX                                      0.5 mg comp.x 50        00006944NNBeta            00001671320160512403020324915507795328055063005020SNN00
5238663CLONAX                                      1 mg comp.x 30          00005200NNBeta            00001318620160512403020323430207795328055049003010SNN00
5238667CLONAX                                      1 mg comp.x 50          00008591NNBeta            00001231720160512403020324915607795328054974005020SNN00
4890983CLONAX                                      2 mg comp.x 30          00004800NNBeta            00001315920160512403060322849307795328055087003010SNN00
4890987CLONAX                                      2 mg comp.x 50          00008300NNBeta            00001671320160512403060324915707795328054998005020SNN00
5076713CLONAX RAPID                                0.25 mg comp.subl.x 30  00003727NNBeta            00000606220160512403020323173707795328055100003010SNN00
4902351CONEXINE                                    comp.rec.x 15           00008092SNBeta            00001577920160512002020323914607795328055117001510SNN00
4902352CONEXINE                                    comp.rec.x 30           00018795SNBeta            00004747720160512002020322913207795328055124003030SNN00
5935842CONEXINE 20                                 20 mg comp.rec.x 30     00027921SNBeta            00006568520160512002020324531707795328055155003010SNN00
6082421DOLO MECANYL                                sob.monods.x 15 x 4 g   00000000NNBeta            00002765120160512002020324737507795328053236001510SNN00
6082422DOLO MECANYL                                sob.monods.x 30 x 4 g   00000000NNBeta            00005689020160512002020324737407795328053243003030SNN00
2639631DOSODOS                                     gts.x 15 ml             00000000NNBeta            00000820220160512002020320135007795328052703000110SNN00
2137361DOSODOS                                     jbe.x 120 ml            00000000NNBeta            00001474720160512002020320135107795328052727000110SNN00
2327602DOSODOS                                     jbe.x 150 ml            00000000NNBeta            00002646220160512002020325191607795328052710000130SNN00
6236552DOSOMUK                                     600 mg comp.dispers.x 1000009200NNBeta            00001797920160512002020325206407795328052734001010SNN00
6236553DOSOMUK                                     600 mg comp.dispers.x 2000015000NNBeta            00002921920160512002020325206507795328052741002030SNN00
5323552DOXATEN                                     0.5 mg caps.x 30        00000000NNBeta            00004885720160512002020325221707795328056251003010SNN00
5239312DROPICINE                                   0.5 mg comp.rec.x 20    00000000NNBeta            00000634420160512A03020323430307795328058682002010SNN00
4815151DROPICINE                                   1 mg comp.rec.x 20      00000000NNBeta            00000955720160512A03020322706007795328058705002010SNN00
4815153DROPICINE                                   1 mg comp.rec.x 60      00000000NNBeta            00002283420160512A03020322706107795328058712006030SNN00
4815231DROPICINE                                   2 mg comp.rec.x 20      00000000NNBeta            00001850520160512A03020322706207795328058736002010SNN00
4815233DROPICINE                                   2 mg comp.rec.x 60      00000000NNBeta            00006313820160512A03020322706307795328058743006030SNN00
4815311DROPICINE                                   3 mg comp.rec.x 20      00000000NNBeta            00002615520160512A03020322706407795328058767002010SNN00
4815313DROPICINE                                   3 mg comp.rec.x 60      00000000NNBeta            00008170420160512A03020322706507795328058774006030SNN00
2984571ESTILOMICIN                                 comp.rec.x 20           00000000NNBeta            00001431620160512003020322049107795328053250002010SNN00
5564002EXOTRAN                                     500 mg comp.lib.prol.x3000029539SNBeta            00004100820160512002020323961207795328057005003010SNN00
5564004EXOTRAN                                     500 mg comp.lib.prol.x6000059078SNBeta            00009514520160512002020323961307795328057012006030SNN00
2770055FLOCUR                                      200 mg caps.x 20        00000000NNBeta            00004476620160512002020324998007795328053199002010SNN00
4696362FLOCUR RAPID                                comp.x 15               00000000NNBeta            00003747120160512002020324979107795328053212001510SNN00
4856662GINAL CENT                                  caps.blandas vag.x 6    00000000NNBeta            00001587120160512002020322815507795328051522000610SNN00
4768552GLIMIDE                                     4 mg comp.rec.x 30      00000000NNBeta            00004028720160512A03020322667907795328052611003010SNN00
4768632GLIMIDE                                     8 mg comp.rec.x 30      00000000NNBeta            00003914720160512A03020322668007795328052628003010SNN00
4802523INTESUL                                     5 mg comp.rec.x 30      00000000NNBeta            00001372420160512002020322706907795328057531003010SNN00
4802525INTESUL                                     5 mg comp.rec.x 60      00000000NNBeta            00002362420160512002020322707007795328057548006030SNN00
4748751LACTAMAX                                    0.5 mg comp.x 2         00008227NNBeta            00002693420160512002060322668207795328057302000210SNN00
4748753LACTAMAX                                    0.5 mg comp.x 8         00026654NNBeta            00007882520160512002060322668307795328057326000830SNN00
5988132LIPO PLUS                                   200 mg c ps.x 30        00000000NNBeta            00005371820160512002080325221807795328052215003010SNN00
0607576LOTOQUIS                                    comp.x 100              00000000NNBeta            00009903920160512304060320257407795328057104010010SNN00
0607313LOTOQUIS 5                                  comp.x 100              00000000NNBeta            00009706320160512304060320326707795328057128010010SNN00
1040503LOTOQUIS SIMPLE                             comp.x 100              00056778NNBeta            00009567720160512002060320420107795328057159010030SNN00
4380113LOTOQUIS SIMPLE                             comp.x 50               00016679NNBeta            00002982720160512002060324064407795328057142005010SNN00
4805833MECANYL                                     1500 mg gran.sob.x 30   00000000NNBeta            00003572520160512002020322707307795328053380003010SNN00
5081492MECANYL DUO                                 caps.x 30               00000000NNBeta            00002335320160512002020323173807795328053304003010SNN00
5081493MECANYL DUO                                 caps.x 60               00000000NNBeta            00003957720160512002020323173907795328053311006030SNN00
5186832MECANYL DUO                                 gran.sob.x 30           00000000NNBeta            00006182220160512002020323315007795328053298003010SNN00
5603972MECANYL K                                   1500 mg gran.sob.x 30   00000000NNBeta            00003302620160512002020323978807795328053403003010SNN00
5607712MECANYL K DUO                               gran.sob.x 30           00000000NNBeta            00005448720160512002020324037307795328053359003010SNN00
3538051MEDILAXAN                                   comp.rec.x 30           00000000NNBeta            00001740520160512002020321161707795328056473003010SNN00
0018422MEDILAXAN                                   gran.fco.x 250 g        00000000NNBeta            00004737620160512002020320146407795328056459000110SNN00
5860972MENOCLIM                                    ov.x 10                 00010581NNBeta            00002903820160512002020324546007795328054981001010SNN00
5631131MODIFICAL DUO                               comp.rec.x1+comp.mastx3000000000NNBeta            00003942620160512002020324037407795328051379003110SNN00
9951917MUCO DOSODOS                                jbe.x 150 ml            00000000NNBeta            00003428520160512002020325191707795328052765000130SNN00
4033873NEUREX                                      500 mg comp.x 40        00000000NNBeta            00009122320160512002020325036807795328051614004020SNN00
4033874NEUREX                                      500 mg comp.x 80        00000000NNBeta            00016712220160512002020325036907795328051638008040SNN00
5681551NEUROSOMAT 0.25 MG                          0.25 mg comp.x 30       00000000NNBeta            00001287520160512002020324495107795328056329003010SNN00
5681553NEUROSOMAT 0.25 MG                          0.25 mg comp.x 90       00000000NNBeta            00003712120160512002020324495207795328056343009030SNN00
5681681NEUROSOMAT 1 MG                             1 mg comp.x 30          00000000NNBeta            00004774220160512002020324495307795328056374003010SNN00
5681683NEUROSOMAT 1 MG                             1 mg comp.x 90          00000000NNBeta            00012890720160512002020324495407795328056398009030SNN00
4472103NEUTRACOL                                   600 mg comp.rec.x 40    00000000NNBeta            00009558820160512002020324967307795328050976004010SNN00
4472104NEUTRACOL                                   600 mg comp.rec.x 60    00000000NNBeta            00013853320160512002020324967407795328050983006030SNN00
5432263OXA 100                                     comp.rec.x 15           00009699NNBeta            00001693720160512002020323744107795328053809001510SNN00
5432265OXA 100                                     comp.rec.x 30           00019949NNBeta            00003483520160512002020323744207795328053816003030SNN00
3011851OXA 50                                      50 mg comp.rec.x 15     00006193NNBeta            00002016320160512002020321016107795328053632001510SNN00
3011852OXA 50                                      50 mg comp.rec.x 30     00007763NNBeta            00003416520160512002020320139007795328053649003020SNN00
3012001OXA 75                                      75 mg iny.a.x 6 x 3 ml  00008420NNBeta            00002147120160512002020320139107795328053656000610SNN00
3030401OXA B12                                     comp.rec.x 15           00000000NNBeta            00002366420160512002020321016307795328053410001510SNN00
3030402OXA B12                                     comp.rec.x 30           00000000NNBeta            00004645120160512002020320486707795328053427003030SNN00
4488621OXA FORTE                                   comp.rec.x 10           00000000NNBeta            00000848520160512803020322265307795328054066001010SNN00
4488622OXA FORTE                                   comp.rec.x 20           00000000NNBeta            00001500320160512803020322265407795328054073002030SNN00
3012182OXA GEL                                     gel x 100 g             00000000NNBeta            00003749920160512002020320291707795328053854000130SNN00
3012181OXA GEL                                     gel x 50 g              00000000NNBeta            00002344520160512002020321331207795328053847000110SNN00
4966351OXA GEL PLUS                                gel x 50 g              00000000NNBeta            00002536420160512002020322973207795328053885000110SNN00
2980691OXA RETARD                                  comp.rec.x 15           00006500NNBeta            00001414120160512002020321016207795328055339001510SNN00
2980692OXA RETARD                                  comp.rec.x 30           00012382NNBeta            00002663620160512002020320139507795328055353003030SNN00
3693311OXADISTEN                                   cr.x 50 g               00000000NNBeta            00002328520160512002020322009307795328053755000110SNN00
5720132OXADISTEN CB                                caps.blandas x 15       00000000NNBeta            00001664520160512002020324210807795328053779001510SNN00
5365714OXAGESIC FORTE                              comp.rec.x 15           00000000NNBeta            00002867920160512002020324997607795328053601001510SNN00
5365716OXAGESIC FORTE                              comp.rec.x 30           00000000NNBeta            00004480820160512002020324997507795328053625003020SNN00
0593624OXAPROST                                    comp.x 16               00000000NNBeta            00014506420160512A03020321093007795328053465001610NNN00
3119362OXAPROST 75                                 comp.x 16               00000000NNBeta            00014629420160512A03020321829907795328053502001610NNN00
5231214PSICOASTEN LC                               12.5 mg comp.rec.x 30   00019348NNBeta            00003757720160512403020323430507795328058422003030SNN00
5231374PSICOASTEN LC                               25 mg comp.rec.x 30     00019000NNBeta            00004314520160512403020323430707795328058446003010SNN00
5231424PSICOASTEN LC                               37.5 mg comp.rec.x 30   00018434NNBeta            00003439920160512403020323430807795328058460003010SNN00
6110131RIBASTAMIN 150 DUO                          comp.rec.x1+comp.mastx3000000000NNBeta            00003246120160512002000324737307795328057951003110SNN00
4566092SESTRINE                                    0.5 mg comp.x 30        00000000NNBeta            00002143920160512002020322647207795328058101003010SNN00
4566172SESTRINE                                    1 mg comp.x 30          00000000NNBeta            00002143920160512002020322647407795328058149003010SNN00
4566174SESTRINE                                    1 mg comp.x 90          00000000NNBeta            00006052720160512002020322647507795328058163009030SNN00
4566252SESTRINE                                    2 mg comp.x 30          00000000NNBeta            00001770920160512002020322647607795328058187003010SNN00
4566254SESTRINE                                    2 mg comp.x 90          00000000NNBeta            00005985820160512002020322647707795328058170009030SNN00
5397844SIBLIX                                      10 mg comp.x 30         00014388SNBeta            00002798220160512A03020323686107795328056503003030SNN00
5397974SIBLIX                                      15 mg comp.x 30         00026657SNBeta            00004082420160512A03020323686307795328056541003010SNN00
6146811SUPRAGESIC T NF                             comp.x 10               00004582SNBeta            00000750020160512A03020324923407795328054769001010SNN00
6146843SUPRAGESIC T NF                             comp.x 20               00008444SNBeta            00001569020160512A03020324923507795328054776002030SNN00
6234262SUPRAGESIC T PLUS                           comp.rec.x 10           00000000NNBeta            00001940020160512A03020324996207795328054714001010SNN00
6234264SUPRAGESIC T PLUS                           comp.rec.x 20           00000000NNBeta            00003898020160512A03020324996307795328054721002020SNN00
4925202TAXUS 400                                   400 mg comp.mast.x 30   00000000NNBeta            00002036620160512002080322892807795328055476003010SNN00
5420842TONAL 600                                   600 mg comp.x 30        00004175NNBeta            00000599220160512002020323724307795328052901003010SNN00
5420843TONAL 600                                   600 mg comp.x 60        00008351NNBeta            00001150320160512002020323724407795328052918006020SNN00
3969884TRIAL GEL                                   gel x 80 g              00029777NNBeta            00005333220160512002020325156607795328055926000110SNN00
3059631TRIAL SAT                                   0.025 mg sat x 8        00012000NNBeta            00002632520160512002020321299007795328055834000810SNN00
3059711TRIAL SAT                                   0.050 mg sat x 8        00019000NNBeta            00003752320160512002020320432207795328055803000810SNN00
5756712TRIAL SAT L.A.                              0.014 mg sat x 4        00015464NNBeta            00002806220160512002020324226607795328055889000410SNN00
3908652TRIAL SAT L.A.                              0.025 mg sat x 4        00016506NNBeta            00002995420160512002020321555107795328055896000410SNN00
3908732TRIAL SAT L.A.                              0.050 mg sat x 4        00025221NNBeta            00004576820160512002020321555207795328055858000410SNN00
4034021TRIAMID                                     500 mg comp.rec.x 3     00004959NNBeta            00001093420160512003080321758307795328051201000310SNN00
4034022TRIAMID                                     500 mg comp.rec.x 5     00005526NNBeta            00001621220160512003080322211707795328051218000530SNN00
4805911TRIASPAR                                    1 mg comp.x 30          00032661NNBeta            00011477620160512002060322784907795328058651003010SNN00
4806081TRIASPAR                                    2 mg comp.x 30          00057403NNBeta            00015454220160512002060322707607795328058606003010SNN00
5953392ULTREX 20                                   20 mg comp.rec.x 14     00009635NNBeta            00001450120160512002020324639307795328057654001410SNN00
5953393ULTREX 20                                   20 mg comp.rec.x 28     00021000NNBeta            00003745320160512002020324639407795328057661002850SNN00
5953422ULTREX 40                                   40 mg comp.rec.x 14     00013417NNBeta            00001941420160512002020324639507795328057678001410SNN00
5953423ULTREX 40                                   40 mg comp.rec.x 28     00029300NNBeta            00005377220160512002020324570807795328057685002850SNN00
1219972VI SYNERAL GE                               comp.rec.x 50           00000000NNBeta            00001833920160512002020320141007795328055223005010SNN00
4429051WETOL                                       comp.rec.x 30           00000000NNBeta            00002156120160512002020322198907795328058408003010SNN00
3635991AMOXOL 1000                                 1000 mg comp.x 10       00003179NNCassar          00000549020160512003000462950807795373012783001010SNN00
2689261AMOXOL DUO                                  875 mg comp.x 10        00001690NNCassar          00000590020160512003000464489807795373030770001010SNN00
4570791SINALER                                     10 mg comp.x 10         00002124NNCassar          00000329020160512002000462646107795373012141001010SNN00
33137215-ASA 400                                   400 mg comp.x 30        00029862SNDom¡nguez       00006055220160513002020671110507795327061164003010SNN00
33137225-ASA 400                                   400 mg comp.x 60        00059724SNDom¡nguez       00011513420160513002020671110607795327061171006030SNN00
33141315-ASA 400                                   400 mg sup.x 10         00014002SNDom¡nguez       00002834120160513002020671110707795327061188001011SNN00
33141325-ASA 400                                   400 mg sup.x 30         00042005SNDom¡nguez       00008112820160513002020671110807795327061195003031SNN00
58201315-ASA 500                                   500 mg comp.x 30        00029539SNDom¡nguez       00006432920160513002020674311907795327063625003010SNN00
58201325-ASA 500                                   500 mg comp.x 60        00059078SNDom¡nguez       00011579620160513002020674312007795327063632006030SNN00
58200015-ASA 800                                   800 mg comp.x 30        00038510SNDom¡nguez       00010292220160513002020674312107795327063670003010SNN00
58200025-ASA 800                                   800 mg comp.x 60        00077020SNDom¡nguez       00017799020160513002020674312207795327063687006030SNN00
2168891A ACIDO                                     0.05% cr.x 10 g         00000000NNDom¡nguez       00001054220160513002000670258607795327060006000110SNN00
2168971A ACIDO                                     0.1% cr.x 10 g          00000000NNDom¡nguez       00001247720160513002000670258707795327060020000110SNN00
2062361A ACIDO                                     0.2% cr.x 10 g          00000000NNDom¡nguez       00001366620160513002000670258807795327060037000110SNN00
3444242A ACIDO EMOLIENTE                           0.025% cr.x 30 g        00000000NNDom¡nguez       00002532120160513002000671212607795327060051000110SNN00
3068041A ACIDO VITAL                               cr.x 30 g               00000000NNDom¡nguez       00002472320160513002000670000507795327060044000110SNN00
3444321ACIFOL                                      1 mg comp.x 30          00003800NNDom¡nguez       00000755920160513002020671341807795327000040003010SNN00
3444322ACIFOL                                      1 mg comp.x 60          00006000NNDom¡nguez       00001284720160513002020671341907795327000057006030SNN00
4465431ACIFOL 10                                   10 mg comp.x 30         00000000NNDom¡nguez       00001798120160513002020672269307795327061300003010SNN00
4465432ACIFOL 10                                   10 mg comp.x 60         00000000NNDom¡nguez       00003062620160513002020672269407795327061317006030SNN00
3978451ACIFOL 5                                    5 mg comp.x 30          00004500NNDom¡nguez       00000992320160513002020671623107795327060082003010SNN00
3978452ACIFOL 5                                    5 mg comp.x 60          00007000NNDom¡nguez       00001689420160513002020671623207795327060099006030SNN00
5097631ACIFOL B12                                  comp.x 30               00000000NNDom¡nguez       00001430720160513002020673385607795327061980003010SNN00
5097632ACIFOL B12                                  comp.x 60               00000000NNDom¡nguez       00002437620160513002020673385907795327061997006030SNN00
4930571ACIFOL GOTAS                                fco.x 10 ml             00006291NNDom¡nguez       00001056820160513002020673344207795327060167000110SNN00
6084133AFLUSAN                                     50 mg comp.x 10         00000000NNDom¡nguez       00000785120160513002000674775907795327063779001010SNN00
6084131AFLUSAN                                     50 mg comp.x 30         00000000NNDom¡nguez       00002184620160513002000674710307795327063755003020SNN00
6084132AFLUSAN                                     50 mg comp.x 60         00000000NNDom¡nguez       00004151720160513002000674710407795327063762006050SNN00
3479312BAREX 70                                    pvo.p/sol.oral x 1 l    00000000NNDom¡nguez       00001246620160513002020671671307795327061225000110SNN00
5580551BAREX KIT                                   Barex70 x2+ 4c.Bisacodil00000000NNDom¡nguez       00004404020160513002020673954107795327062000000110SNN00
3479313BAREX S                                     pvo.hidrosol.sob.x 24   00000000NNDom¡nguez       00001846820160513002020672169007795327061232002410SNN00
3479314BAREX S                                     pvo.hidrosol.sob.x 50   00000000NNDom¡nguez       00003820820160513002020672169107795327061249005030SNN00
3479311BAREX SABORIZADO                            pvo.p/sol.oral x 4 l    00000000NNDom¡nguez       00004008120160513002020671145607795327061218000110SNN00
5638421BAREX UNIPEG                                sobres x 12             00000000NNDom¡nguez       00003922420160513002020674127907795327091345001210SNN00
5638422BAREX UNIPEG                                sobres x 24             00000000NNDom¡nguez       00007060720160513002020674822807795327091352002420SNN00
